,Unnamed: 0,cost,address,bedrooms,bathrooms,hydro,heat,water,parking,pet,size,furnished,ac,smoking,has_den,has_unitType_Apartment,has_unitType_Basement,has_unitType_Condo,has_unitType_Duplex/Triplex,has_unitType_House,has_unitType_Townhouse,has_wifiInfo_Internet,has_wifiInfo_Cable,agreement_is_annual,has_appliances_Dishwasher,has_appliances_Fridge / Freezer,has_appliances_Laundry (In Building),has_appliances_Laundry (In Unit),has_amenities_24 Hour Security,has_amenities_Bicycle Parking,has_amenities_Concierge,has_amenities_Elevator in Building,has_amenities_Gym,has_amenities_Pool,has_amenities_Storage Space,has_outdoor_Balcony,has_outdoor_Yard,latitude,longitude
10,10,999,"2835 Parliament Ave, Regina, SK, S4S 2L1",2,1.0,0,1,1,0,1,910,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.415392,-104.621739
11,11,799,"3940 Retallack Street, Regina, SK, S4S 3B9",1,1.0,0,1,1,0,1,675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.417045,-104.622474
12,12,1074,"4100 Retallack Street, Regina, SK, S4S 3C3",2,1.0,0,1,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4143456,-104.6224529
13,13,800,"2353 Ottawa St, Regina, SK S4P 1R2, Canada",1,1.0,0,1,1,2,0,700,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4424372,-104.6005612
14,14,1475,"1942 Elphinstone St., S4T 3N2, Regina, SK",2,1.0,0,0,0,2,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.448749,-104.631126
15,15,800,"144 1st Ave north, S3N 1J8, Yorkton, SK",1,1.0,0,1,1,1,0,900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51.216272,-102.462937
16,16,1279,"193 Lockwood Rd., Regina, SK, S4S 6G9",1,1.0,1,1,1,0,1,705,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,50.4016987,-104.6255671
17,17,754,"4039 Retallack Street, Regina, SK, S4S 3C2",1,1.0,0,1,1,0,1,480,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.415345,-104.622466
18,18,850,", Regina S4t3s2 SK, Canada",2,1.0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,50.45605,-104.632609
19,19,1180,"10 Michener Drive, Regina, SK, S4V 1R2",2,1.0,0,1,1,0,1,975,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,50.431639,-104.558772
20,20,1085,"6725 Rochdale Blvd, Regina, SK, S4X 2Z2",2,1.0,0,1,1,0,1,798,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,50.4948651,-104.677316
21,21,1487,"3005  Trombley St, Regina, SK, S4V 3W6",3,2.0,0,0,0,0,1,1074,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,50.4294124,-104.5137686
22,22,940,"5659 Campling Avenue, Regina, SK, S4W 0P8",1,1.0,0,0,0,0,1,576,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.436949,-104.649662
23,23,1250,"5663 Mitchinson Way, Regina, SK, S4W 0P9",3,1.0,0,0,0,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.436949,-104.649662
24,24,1465,"3367 Green Poppy Street, Regina, SK, S4W 0G3",2,1.0,0,0,0,1,1,807,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,50.436949,-104.649662
25,25,1295,"5300 Parliament Ave, Regina, SK, S4W 0R5",2,1.0,0,0,1,1,1,694,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.44065,-104.649629
26,26,800,"405 Moltke Ave, Langenburg, SK S0A 2A0, Canada",1,1.0,1,1,1,2,0,768,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,50.981364,-101.69037
27,27,2200,"2300 Broad Street, S4P1Y8, Regina, SK",2,2.0,0,1,1,1,0,1400,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,50.442326,-104.606652
28,28,1020,"445  Retallack Street, Regina, SK, S4R 3N4",2,1.0,0,1,1,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4714575,-104.622552
29,29,950,"2630  6th Avenue N, Regina, SK, S4R 0P2",1,1.0,0,1,1,0,1,631,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.478954,-104.618794
30,30,900,"2311 Park Street, S4N 2G9, Regina, SK",1,1.0,1,1,1,1,1,500,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,50.443819,-104.572173
31,31,620,"15  Darlington St. E, Yorkton, SK, S3N 0C1",1,1.0,0,1,1,0,1,290,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,51.21642,-102.462835
32,32,849,"3525 Avonhurst Dr, Regina, SK, S4R 3K2",2,1.0,0,1,1,0,1,763,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,50.474007,-104.632346
33,33,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",1,1.0,0,1,1,0,1,520,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.447245,-104.600769
34,34,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",2,1.0,0,1,1,0,1,840,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.439672,-104.648915
35,35,1750,"14 Milford Crescent, Regina, SK S4N 1K7, Canada",3,2.0,0,0,0,3,1,1300,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,50.452663,-104.5512115
36,36,1000,"69  Kleisinger Cres, Regina, SK, S4R 6Z4",2,1.0,0,1,1,0,1,761,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.484498,-104.607979
37,37,800,"399  Parkview Road, Yorkton, SK, S3N 2L4",2,1.0,0,1,1,0,1,743,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,51.200767,-102.487883
38,38,650,"2901  5th Ave, Regina, SK, S4T 0L3",1,1.0,0,1,1,0,1,308,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.461418,-104.623503
39,39,850,"1454  Rae St, Regina, SK, S4T 2C5",2,1.0,0,1,1,0,1,684,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.455924,-104.621176
