,cost,address,bedrooms,bathrooms,hydro,heat,water,parking,pet,size,furnished,ac,smoking,has_den,has_unitType_Apartment,has_unitType_Basement,has_unitType_Condo,has_unitType_Duplex/Triplex,has_unitType_House,has_unitType_Townhouse,has_wifiInfo_Internet,has_wifiInfo_Cable,agreement_is_annual,has_appliances_Dishwasher,has_appliances_Fridge / Freezer,has_appliances_Laundry (In Building),has_appliances_Laundry (In Unit),has_amenities_24 Hour Security,has_amenities_Bicycle Parking,has_amenities_Concierge,has_amenities_Elevator in Building,has_amenities_Gym,has_amenities_Pool,has_amenities_Storage Space,has_outdoor_Balcony,has_outdoor_Yard,latitude,longitude
10,999,"2835 Parliament Ave, Regina, SK, S4S 2L1",2,1.0,0,1,1,0,1,910,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4151363,-104.6221331
11,799,"3940 Retallack Street, Regina, SK, S4S 3B9",1,1.0,0,1,1,0,1,675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4163001,-104.6228324
12,1074,"4100 Retallack Street, Regina, SK, S4S 3C3",2,1.0,0,1,1,0,1,720,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.41365395,-104.62285226699895
13,800,"2353 Ottawa St, Regina, SK S4P 1R2, Canada",1,1.0,0,1,1,2,0,700,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4414175,-104.6002424234305
14,1475,"1942 Elphinstone St., S4T 3N2, Regina, SK",2,1.0,0,0,0,2,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.447967899999995,-104.63148052606837
15,800,"144 1st Ave north, S3N 1J8, Yorkton, SK",1,1.0,0,1,1,1,0,900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51.215512,-102.462856
16,1279,"193 Lockwood Rd., Regina, SK, S4S 6G9",1,1.0,1,1,1,0,1,705,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,50.401505400000005,-104.62601904510908
17,754,"4039 Retallack Street, Regina, SK, S4S 3C2",1,1.0,0,1,1,0,1,480,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.41420275,-104.62208777550259
18,850,", Regina S4t3s2 SK, Canada",2,1.0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,50.483860050000004,-104.56455595
19,1180,"10 Michener Drive, Regina, SK, S4V 1R2",2,1.0,0,1,1,0,1,975,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,50.432116449999995,-104.55925502789117
20,1085,"6725 Rochdale Blvd, Regina, SK, S4X 2Z2",2,1.0,0,1,1,0,1,798,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,50.4952793,-104.6868619
21,1487,"3005  Trombley St, Regina, SK, S4V 3W6",3,2.0,0,0,0,0,1,1074,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,50.4303224,-104.5138082
22,940,"5659 Campling Avenue, Regina, SK, S4W 0P8",1,1.0,0,0,0,0,1,576,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.4093068,-104.6588148
23,1250,"5663 Mitchinson Way, Regina, SK, S4W 0P9",3,1.0,0,0,0,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,50.4108374,-104.6588214
24,1465,"3367 Green Poppy Street, Regina, SK, S4W 0G3",2,1.0,0,0,0,1,1,807,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,50.4255301,-104.5066269
25,1295,"5300 Parliament Ave, Regina, SK, S4W 0R5",2,1.0,0,0,1,1,1,694,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.4153721,-104.6092651
26,800,"405 Moltke Ave, Langenburg, SK S0A 2A0, Canada",1,1.0,1,1,1,2,0,768,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,50.8442359,-101.6991626
27,2200,"2300 Broad Street, S4P1Y8, Regina, SK",2,2.0,0,1,1,1,0,1400,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,50.4301772,-104.6035014
28,1020,"445  Retallack Street, Regina, SK, S4R 3N4",2,1.0,0,1,1,0,1,1000,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50.4771602,-104.6225169
29,950,"2630  6th Avenue N, Regina, SK, S4R 0P2",1,1.0,0,1,1,0,1,631,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,50.47914995,-104.61998785
30,900,"2311 Park Street, S4N 2G9, Regina, SK",1,1.0,1,1,1,1,1,500,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,50.4421922,-104.57185854046834
31,620,"15  Darlington St. E, Yorkton, SK, S3N 0C1",1,1.0,0,1,1,0,1,290,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,51.2163743,-102.4572246
32,849,"3525 Avonhurst Dr, Regina, SK, S4R 3K2",2,1.0,0,1,1,0,1,763,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,50.4707985,-104.6182456
33,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",1,1.0,0,1,1,0,1,520,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4474552,-104.6015730253819
34,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",2,1.0,0,1,1,0,1,840,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,50.4125124,-104.6602563
