,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url,has_den
28,1085,"6725 Rochdale Blvd, Regina, SK, S4X 2Z2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,798,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Not Included'],0,['Gym'],/v-apartments-condos/regina/lakewood-2-br/1570885847,0
29,1487,"3005  Trombley St, Regina, SK, S4V 3W6",Apartment,3,2.0,0,0,0,Internet,0,1 Year,1,1074,0,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,"['Yard', 'Balcony']",0,['Not Included'],/v-apartments-condos/regina/trombley-street-apartments-3-bedroom-apartment-for-rent/1569699098,0
30,940,"5659 Campling Avenue, Regina, SK, S4W 0P8",Apartment,1,1.0,0,0,0,Not Included,0,1 Year,1,576,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/campling-avenue-duplex-suites-basement-suite-house-for-rent/1568801712,0
31,1250,"5663 Mitchinson Way, Regina, SK, S4W 0P9",Apartment,3,1.0,0,0,0,Not Included,0,1 Year,1,1000,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/mitchinson-way-fourplex-3-bedroom-lower-house-for-rent/1568798625,0
34,1465,"3367 Green Poppy Street, Regina, SK, S4W 0G3",Townhouse,2,1.0,0,0,0,Not Included,1,1 Year,1,807,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-lower-corner-townhome-rental/1568880375,0
35,1295,"5300 Parliament Ave, Regina, SK, S4W 0R5",Apartment,2,1.0,0,0,1,Not Included,1,1 Year,1,694,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Elevator in Building']",/v-apartments-condos/regina/two-bedroom-rental-pet-friendly/1540768540,0
36,800,"405 Moltke Ave, Langenburg, SK S0A 2A0, Canada",Basement,1,1.0,1,1,1,Not Included,2,Month-to-month,0,768,1,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/1-bedroom-renovated-and-furnished-basement-suite-in-langenburg/1570879495,0
37,2200,"2300 Broad Street, S4P1Y8, Regina, SK",Condo,2,2.0,0,1,1,Not Included,1,1 Year,0,1400,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', '24 Hour Security', 'Bicycle Parking', 'Storage Space', 'Elevator in Building']",/v-apartments-condos/regina/condo-for-rent/1568264269,1
40,1020,"445  Retallack Street, Regina, SK, S4R 3N4",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,1000,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/2-bedroom-apartment-with-parking-available-pet-friendly/1562934597,0
42,950,"2630  6th Avenue N, Regina, SK, S4R 0P2",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,631,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/1-bedroom-for-rent-close-to-northgate-mall/1569895301,0
